		Fahrtenschlüssel	26:02	27:02	28:02
		Verkehrsbeschränkung			
		Hinweis			
		Transportgefäßtyp	10	10	10
1	2728	Herrlingen, Bahnhof	 26.02	 27.02	 28.02
2	2704	Blaustein, Kalte Herberge	 26.04	 27.04	 28.04
3	2702	Blaustein, Galgenbergstraße	 26.05	 27.05	 28.05
4	2701	Blaustein, Bahnhof/Rathaus	 26.06	 27.06	 28.06
5	2710	Blaustein, Hofstraße	 26.08	 27.08	 28.08
6	2708	Blaustein, Am Blaugarten	 26.09	 27.09	 28.09
7	1257	Söflinger Weinberge	 26.12	 27.12	 28.12
8	1256	Virchowstraße	 26.13	 27.13	 28.13
9	1255	Heilmeyersteige	 26.14	 27.14	 28.14
10	1266	Ehrensteiner Feld	 26.15	 27.15	 28.15
11	1265	Veltlinerweg	 26.16	 27.16	 28.16
12	1260	Ruländerweg	 26.17	 27.17	 28.17
13	1281	Stachelbeerweg	 26.18	 27.18	 28.18
14	1210	Burgunderweg	 26.19	 27.19	 28.19
15	1202	Multscherschule	 26.20	 27.20	 28.20
16	1232	Lehrer Tal	 26.21	 27.21	 28.21
17	1039	Kienlesberg	 26.22	 27.22	 28.22
18	1010	Theater	 26.23	 27.23	 28.23
19	1000	ZOB	 26.25	 27.25	 28.25
