		Fahrtenschlüssel	25:59	26:59	27:59
		Verkehrsbeschränkung			
		Hinweis			
		Transportgefäßtyp	11	11	11
1	1672	Donaustetten, Illerkirchb.Str.	 25.59	 26.59	 27.59
2	1671	Donaustetten, Wasserturm	 26.00	 27.00	 28.00
3	1652	Gögglingen, Hoher Berg	 26.02	 27.02	 28.02
4	1651	Gögglingen, Zollbrücke	 26.02	 27.02	 28.02
5	1590	Kastbrücke	 26.06	 27.06	 28.06
6	1506	Benzstraße	 26.09	 27.09	 28.09
7	1404	Erbacher Straße	 26.10	 27.10	 28.10
8	1403	Eisenbahnstraße	 26.11	 27.11	 28.11
9	1400	Rathausstraße	 26.11	 27.11	 28.11
10	1401	Häberlinweg	 26.12	 27.12	 28.12
11	1395	Barbaralinde	 26.14	 27.14	 28.14
12	1393	Grimmelfinger Weg	 26.15	 27.15	 28.15
13	1390	Kuhberg Schulzentrum	 26.16	 27.16	 28.16
14	1383	Gewerbeschulen Königstraße	 26.18	 27.18	 28.18
15	1382	Egginger Weg	 26.18	 27.18	 28.18
16	1381	Robert-Dick-Weg	 26.19	 27.19	 28.19
17	1380	Saarlandstraße	 26.19	 27.19	 28.19
18	1360	Römerplatz	 26.20	 27.20	 28.20
19	1359	Haßlerstraße	 26.20	 27.20	 28.20
20	1350	Ehinger Tor	 26.22	 27.22	 28.22
21	1000	ZOB	 26.25	 27.25	 28.25
