		Fahrtenschl¸ssel	05:07	05:37	06:07	07:10	07:12	07:40	07:42	08:10	08:12	08:40	08:42	09:10	09:12	09:40	09:42	10:10	10:12	10:14	10:50	10:52	11:20	11:22	11:50	11:52	12:20	12:22	12:50	12:52	13:20	13:22	13:50	13:52	14:20	14:22	14:50	14:52	15:20	15:22	15:50	16:20	16:29	16:50	16:59	17:20	17:29	17:50	17:59	18:20	18:29	18:44	18:59	19:20	19:29	19:50	20:20
		Verkehrsbeschr‰nkung																																																							
		Hinweis				Ar		Ar		Ar		Ar		Ar		Ar		Ar			Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar		Ar	Ar		Ar		Ar		Ar		Ar				Ar		Ar	Ar
		Transportgef‰ﬂtyp	10	10	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	31	10	31	10	31	10	31	10	31	10	10	10	31	10	31	31
19	1506	Benzstraﬂe	 05.24	 05.54	 06.24	    -	 06.54	    -	 07.24	    -	 07.54	    -	 08.24	    -	 08.54	    -	 09.24	    -	 09.54	 10.24	    -	 10.54	    -	 11.24	    -	 11.54	    -	 12.24	    -	 12.54	    -	 13.24	    -	 13.54	    -	 14.24	    -	 14.54	    -	 15.24	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
20	1404	Erbacher Straﬂe	 05.25	 05.55	 06.25	    -	 06.55	    -	 07.25	    -	 07.55	    -	 08.25	    -	 08.55	    -	 09.25	    -	 09.55	 10.25	    -	 10.55	    -	 11.25	    -	 11.55	    -	 12.25	    -	 12.55	    -	 13.25	    -	 13.55	    -	 14.25	    -	 14.55	    -	 15.25	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
21	1403	Eisenbahnstraﬂe	 05.26	 05.56	 06.26	    -	 06.56	    -	 07.26	    -	 07.56	    -	 08.26	    -	 08.56	    -	 09.26	    -	 09.56	 10.26	    -	 10.56	    -	 11.26	    -	 11.56	    -	 12.26	    -	 12.56	    -	 13.26	    -	 13.56	    -	 14.26	    -	 14.56	    -	 15.26	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
22	1400	Rathausstraﬂe	 05.27	 05.57	 06.27	    -	 06.57	    -	 07.27	    -	 07.57	    -	 08.27	    -	 08.57	    -	 09.27	    -	 09.57	 10.27	    -	 10.57	    -	 11.27	    -	 11.57	    -	 12.27	    -	 12.57	    -	 13.27	    -	 13.57	    -	 14.27	    -	 14.57	    -	 15.27	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
23	1401	H‰berlinweg	 05.28	 05.58	 06.28	    -	 06.58	    -	 07.28	    -	 07.58	    -	 08.28	    -	 08.58	    -	 09.28	    -	 09.58	 10.28	    -	 10.58	    -	 11.28	    -	 11.58	    -	 12.28	    -	 12.58	    -	 13.28	    -	 13.58	    -	 14.28	    -	 14.58	    -	 15.28	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
24	1395	Barbaralinde	 05.30	 06.00	 06.30	    -	 07.00	    -	 07.30	    -	 08.00	    -	 08.30	    -	 09.00	    -	 09.30	    -	 10.00	 10.30	    -	 11.00	    -	 11.30	    -	 12.00	    -	 12.30	    -	 13.00	    -	 13.30	    -	 14.00	    -	 14.30	    -	 15.00	    -	 15.30	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
25	1393	Grimmelfinger Weg	 05.31	 06.01	 06.31	    -	 07.01	    -	 07.31	    -	 08.01	    -	 08.31	    -	 09.01	    -	 09.31	    -	 10.01	 10.31	    -	 11.01	    -	 11.31	    -	 12.01	    -	 12.31	    -	 13.01	    -	 13.31	    -	 14.01	    -	 14.31	    -	 15.01	    -	 15.31	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
26	1390	Kuhberg Schulzentrum	 05.32	 06.02	 06.32	    -	 07.02	    -	 07.32	    -	 08.02	    -	 08.32	    -	 09.02	    -	 09.32	    -	 10.02	 10.32	    -	 11.02	    -	 11.32	    -	 12.02	    -	 12.32	    -	 13.02	    -	 13.32	    -	 14.02	    -	 14.32	    -	 15.02	    -	 15.32	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
27	1383	Gewerbeschulen Kˆnigstraﬂe	 05.34	 06.04	 06.34	    -	 07.04	    -	 07.34	    -	 08.04	    -	 08.34	    -	 09.04	    -	 09.34	    -	 10.04	 10.34	    -	 11.04	    -	 11.34	    -	 12.04	    -	 12.34	    -	 13.04	    -	 13.34	    -	 14.04	    -	 14.34	    -	 15.04	    -	 15.34	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
28	1382	Egginger Weg	 05.34	 06.04	 06.34	    -	 07.04	    -	 07.34	    -	 08.04	    -	 08.34	    -	 09.04	    -	 09.34	    -	 10.04	 10.34	    -	 11.04	    -	 11.34	    -	 12.04	    -	 12.34	    -	 13.04	    -	 13.34	    -	 14.04	    -	 14.34	    -	 15.04	    -	 15.34	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
29	1381	Robert-Dick-Weg	 05.35	 06.05	 06.35	    -	 07.05	    -	 07.35	    -	 08.05	    -	 08.35	    -	 09.05	    -	 09.35	    -	 10.05	 10.35	    -	 11.05	    -	 11.35	    -	 12.05	    -	 12.35	    -	 13.05	    -	 13.35	    -	 14.05	    -	 14.35	    -	 15.05	    -	 15.35	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
30	1380	Saarlandstraﬂe	 05.36	 06.06	 06.36	    -	 07.06	    -	 07.36	    -	 08.06	    -	 08.36	    -	 09.06	    -	 09.36	    -	 10.06	 10.36	    -	 11.06	    -	 11.36	    -	 12.06	    -	 12.36	    -	 13.06	    -	 13.36	    -	 14.06	    -	 14.36	    -	 15.06	    -	 15.36	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
31	1360	Rˆmerplatz	 05.37	 06.07	 06.37	    -	 07.07	    -	 07.37	    -	 08.07	    -	 08.37	    -	 09.07	    -	 09.37	    -	 10.07	 10.37	    -	 11.07	    -	 11.37	    -	 12.07	    -	 12.37	    -	 13.07	    -	 13.37	    -	 14.07	    -	 14.37	    -	 15.07	    -	 15.37	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
32	1359	Haﬂlerstraﬂe	 05.38	 06.08	 06.38	    -	 07.08	    -	 07.38	    -	 08.08	    -	 08.38	    -	 09.08	    -	 09.38	    -	 10.08	 10.38	    -	 11.08	    -	 11.38	    -	 12.08	    -	 12.38	    -	 13.08	    -	 13.38	    -	 14.08	    -	 14.38	    -	 15.08	    -	 15.38	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
33	1350	Ehinger Tor	 05.42	 06.12	 06.42	    -	 07.12	    -	 07.42	    -	 08.12	    -	 08.42	    -	 09.12	    -	 09.42	    -	 10.12	 10.42	    -	 11.12	    -	 11.42	    -	 12.12	    -	 12.42	    -	 13.12	    -	 13.42	    -	 14.12	    -	 14.42	    -	 15.12	    -	 15.42	    -	    -	 16.29	    -	 16.59	    -	 17.29	    -	 17.59	    -	 18.29	 18.44	 18.59	    -	 19.29	    -	    -
34	1000	ZOB	    $	    $	    $	 07.10	    $	 07.40	    $	 08.10	    $	 08.40	    $	 09.10	    $	 09.40	    $	 10.10	    $	    $	 10.50	    $	 11.20	    $	 11.50	    $	 12.20	    $	 12.50	    $	 13.20	    $	 13.50	    $	 14.20	    $	 14.50	    $	 15.20	    $	 15.50	 16.20	    $	 16.50	    $	 17.20	    $	 17.50	    $	 18.20	    $	    $	    $	 19.20	    $	 19.50	 20.20
35	1008	Hauptbahnhof	 05.45	 06.15	 06.45	 07.13	 07.15	 07.43	 07.45	 08.13	 08.15	 08.43	 08.45	 09.13	 09.15	 09.43	 09.45	 10.13	 10.15	 10.45	 10.53	 11.15	 11.23	 11.45	 11.53	 12.15	 12.23	 12.45	 12.53	 13.15	 13.23	 13.45	 13.53	 14.15	 14.23	 14.45	 14.53	 15.15	 15.23	 15.45	 15.53	 16.23	 16.32	 16.53	 17.02	 17.23	 17.32	 17.53	 18.02	 18.23	 18.32	 18.47	 19.02	 19.23	 19.32	 19.53	 20.23
36	1010	Theater	 05.47	 06.17	 06.47	 07.15	 07.17	 07.45	 07.47	 08.15	 08.17	 08.45	 08.47	 09.15	 09.17	 09.45	 09.47	 10.15	 10.17	 10.47	 10.55	 11.17	 11.25	 11.47	 11.55	 12.17	 12.25	 12.47	 12.55	 13.17	 13.25	 13.47	 13.55	 14.17	 14.25	 14.47	 14.55	 15.17	 15.25	 15.47	 15.55	 16.25	 16.34	 16.55	 17.04	 17.25	 17.34	 17.55	 18.04	 18.25	 18.34	 18.49	 19.04	 19.25	 19.34	 19.55	 20.25
37	1366	Beim B'scheid	 05.50	 06.20	 06.50	 07.18	 07.20	 07.48	 07.50	 08.18	 08.20	 08.48	 08.50	 09.18	 09.20	 09.48	 09.50	 10.18	 10.20	 10.50	 10.58	 11.20	 11.28	 11.50	 11.58	 12.20	 12.28	 12.50	 12.58	 13.20	 13.28	 13.50	 13.58	 14.20	 14.28	 14.50	 14.58	 15.20	 15.28	 15.50	 15.58	 16.28	 16.37	 16.58	 17.07	 17.28	 17.37	 17.58	 18.07	 18.28	 18.37	 18.52	 19.07	 19.28	 19.37	 19.58	 20.28
38	1367	Auf der Gˆlde	 05.51	 06.21	 06.51	 07.19	 07.21	 07.49	 07.51	 08.19	 08.21	 08.49	 08.51	 09.19	 09.21	 09.49	 09.51	 10.19	 10.21	 10.51	 10.59	 11.21	 11.29	 11.51	 11.59	 12.21	 12.29	 12.51	 12.59	 13.21	 13.29	 13.51	 13.59	 14.21	 14.29	 14.51	 14.59	 15.21	 15.29	 15.51	 15.59	 16.29	 16.38	 16.59	 17.08	 17.29	 17.38	 17.59	 18.08	 18.29	 18.38	 18.53	 19.08	 19.29	 19.38	 19.59	 20.29
39	1354	Blautal-Center	 05.53	 06.23	 06.53	 07.21	 07.23	 07.51	 07.53	 08.21	 08.23	 08.51	 08.53	 09.21	 09.23	 09.51	 09.53	 10.21	 10.23	 10.53	 11.01	 11.23	 11.31	 11.53	 12.01	 12.23	 12.31	 12.53	 13.01	 13.23	 13.31	 13.53	 14.01	 14.23	 14.31	 14.53	 15.01	 15.23	 15.31	 15.53	 16.01	 16.31	 16.40	 17.01	 17.10	 17.31	 17.40	 18.01	 18.10	 18.31	 18.40	 18.55	 19.10	 19.31	 19.40	 20.01	 20.31
