		Fahrtenschlüssel	26:00	27:00	28:00
		Verkehrsbeschränkung			
		Hinweis			
		Transportgefäßtyp	11	11	11
1	1164	Schwarzenbergstraße	 26.00	 27.00	 28.00
2	1163	Rathaus Jungingen	 26.01	 27.01	 28.01
3	1103	Junginger Straße	 26.04	 27.04	 28.04
4	1101	Mähringer Straße	 26.05	 27.05	 28.05
5	1131	Ulmer Steige	 26.08	 27.08	 28.08
6	1241	Botanischer Garten	 26.11	 27.11	 28.11
7	1240	Universität Süd	 26.13	 27.13	 28.13
8	1200	Eselsberg Hasenkopf	 26.15	 27.15	 28.15
9	1251	Kelternweg	 26.16	 27.16	 28.16
10	1261	Traminerweg	 26.16	 27.16	 28.16
11	1260	Ruländerweg	 26.17	 27.17	 28.17
12	1281	Stachelbeerweg	 26.17	 27.17	 28.17
13	1280	Beim Türmle	 26.18	 27.18	 28.18
14	1218	Lupferbrücke	 26.18	 27.18	 28.18
15	1354	Blautal-Center	 26.19	 27.19	 28.19
16	1367	Auf der Gölde	 26.20	 27.20	 28.20
17	1366	Beim B'scheid	 26.21	 27.21	 28.21
18	1097	Neutorstraße	 26.23	 27.23	 28.23
19	1010	Theater	 26.23	 27.23	 28.23
20	1000	ZOB	 26.25	 27.25	 28.25
